name,price,original_price,discount,review_count,seller,availability,badges,link,category
NIVEA MEN Gel coiffant - Styling Crème - 150ml.,59.00 Dhs,62.00 Dhs,5%,4.1,Jumia,Available,"['Boutique Officielle', '5%']",https://www.jumia.ma/nivea-men-gel-coiffant-styling-creme-150ml.-66281575.html,beaute-sante
L'Oréal Paris Routine Hydratation Hyaluron Expert Sérum visage 30ML + Crème de jour,202.00 Dhs,275.00 Dhs,27%,4.4,Jumia,Available,"['Boutique Officielle', '27%']",https://www.jumia.ma/loreal-paris-routine-hydratation-hyaluron-expert-serum-visage-30ml-creme-de-jour-65704879.html,beaute-sante
"One Step Brosse Soufflante à Air Chaud Multifonction,Sèche-Cheveux,Lisseur,Peigne GERMANY",149.00 Dhs,250.00 Dhs,40%,3.9,Jumia,Available,['40%'],https://www.jumia.ma/one-step-brosse-soufflante-a-air-chaud-multifonctionseche-cheveuxlisseurpeigne-germany-62105366.html,beaute-sante
Mixa Lait Réparateur Après-Soleil - 200ml.,69.00 Dhs,70.00 Dhs,1%,4.5,Jumia,Available,"['Boutique Officielle', '1%']",https://www.jumia.ma/mixa-lait-reparateur-apres-soleil-200ml.-66560200.html,beaute-sante
"NIVEA Crème hydratante, boite 60ml.",17.00 Dhs,,,4.2,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/nivea-creme-hydratante-boite-60ml.-66281644.html,beaute-sante
NIVEA SUN Kids - Lait Protecteur Swim & Play - SPF 50+ - 150ml.,159.00 Dhs,184.00 Dhs,14%,4.4,Jumia,Available,"['Boutique Officielle', '14%']",https://www.jumia.ma/nivea-sun-kids-lait-protecteur-swim-play-spf-50-150ml.-66281507.html,beaute-sante
Maybelline New York Gloss à Lèvres Effet Repulpant Immédiat & Volume XXL - Lifter Plump - Teinte 001 BLUSH BLAZE 5.4ML,89.00 Dhs,125.00 Dhs,29%,3.8,Jumia,Available,"['Boutique Officielle', '29%']",https://www.jumia.ma/maybelline-new-york-gloss-a-levres-effet-repulpant-immediat-volume-xxl-lifter-plump-teinte-001-blush-blaze-5.4ml-64791241.html,beaute-sante
L'Oréal Paris Elseve Offre Spéciale sérum Hyaluron Repulp = Brosse L'Oréal Paris offerte,76.00 Dhs,83.00 Dhs,8%,4.5,Jumia,Available,"['Boutique Officielle', '8%']",https://www.jumia.ma/loreal-paris-elseve-offre-speciale-serum-hyaluron-repulp-brosse-loreal-paris-offerte-66574612.html,beaute-sante
NIVEA SUN Protect & Refresh - SPF 50+ - Aérosol 200ml.,184.00 Dhs,213.00 Dhs,14%,4.2,Jumia,Available,"['Boutique Officielle', '14%']",https://www.jumia.ma/nivea-sun-protect-refresh-spf-50-aerosol-200ml.-66281557.html,beaute-sante
Balea Crème déodorante au bicarbonate de soude 50ml,49.99 Dhs,59.99 Dhs,17%,4.5,Jumia,Available,['17%'],https://www.jumia.ma/balea-creme-deodorante-au-bicarbonate-de-soude-50ml-64611773.html,beaute-sante
Maybelline New York Rouge à Lèvres Liquide - Effet Vinyl Brillant- SuperStay Vinyl Ink - Teinte : 105 GOLDEN,121.00 Dhs,148.00 Dhs,18%,4.4,Jumia,Available,"['Boutique Officielle', '18%']",https://www.jumia.ma/maybelline-new-york-rouge-a-levres-liquide-effet-vinyl-brillant-superstay-vinyl-ink-teinte-105-golden-64121027.html,beaute-sante
"FutureBiotics Vitamine K2 (MK-7) + Vitamine D3 (10,000 UI) (Haute concentration) 120 capsules végétarienne - USA",329.00 Dhs,799.00 Dhs,59%,4.5,Jumia,Available,['59%'],https://www.jumia.ma/futurebiotics-vitamine-k2-mk-7-vitamine-d3-10000-ui-haute-concentration-120-capsules-vegetarienne-usa-66018957.html,beaute-sante
Kemei KM 1949 Tondeuse professionnel rechargeable + Accessoires,187.00 Dhs,220.00 Dhs,15%,4.5,Jumia,Available,"['Boutique Officielle', '15%']",https://www.jumia.ma/kemei-km-1949-tondeuse-professionnel-rechargeable-accessoires-64215492.html,beaute-sante
WeightWorld VITAMINE C LIPOSOMALE 1000mg - Format économique 3 mois - Made in UK,315.00 Dhs,599.00 Dhs,47%,4.8,Jumia,Available,['47%'],https://www.jumia.ma/vitamine-c-liposomale-1000mg-format-economique-3-mois-made-in-uk-weightworld-mpg1330462.html,beaute-sante
Garnier Ultra Doux Shampooing Infusion a l'Eau de Riz et l'Amidon 400ml,44.00 Dhs,45.00 Dhs,2%,3.8,Jumia,Available,"['Boutique Officielle', '2%']",https://www.jumia.ma/garnier-ultra-doux-shampooing-infusion-a-leau-de-riz-et-lamidon-400ml-65682970.html,beaute-sante
OstroVit Zinc Picolinate bio 150 comprimés,135.00 Dhs,200.00 Dhs,33%,4.2,Jumia,Available,['33%'],https://www.jumia.ma/zinc-picolinate-bio-150-comprimes-ostrovit-mpg1477052.html,beaute-sante
"NutriPulse Maca Formule Énergie 300mg – Soutien Libido, Boost Endurance & Clarté Mentale 90 Gélules",110.00 Dhs,219.99 Dhs,50%,4.5,Jumia,Available,['50%'],https://www.jumia.ma/nutripulse-maca-formule-energie-300mg-soutien-libido-boost-endurance-clarte-mentale-90-gelules-65972510.html,beaute-sante
"BioSchubert Ashwagandha 800mg, 90 Gélules, Calme Stress, Dépression nerveuse & Anxiété",142.56 Dhs,359.00 Dhs,60%,3.8,Jumia,Available,['60%'],https://www.jumia.ma/bioschubert-ashwagandha-800mg-90-gelules-calme-stress-depression-nerveuse-anxiete-64143338.html,beaute-sante
"Swanson Premium- Full Spectrum Milk Thistle, Chardon-Marie, 500 mg, 100 capsules",120.00 Dhs,241.38 Dhs,50%,4.2,Jumia,Available,['50%'],https://www.jumia.ma/swanson-premium-full-spectrum-milk-thistle-chardon-marie-500-mg-100-capsules-62061293.html,beaute-sante
Brosse Pour Définir Les Boucles Cheveux Bouclés Curly Hair styling Brush Unisex,199.99 Dhs,299.99 Dhs,33%,4,Jumia,Available,['33%'],https://www.jumia.ma/generic-brosse-pour-definir-les-boucles-cheveux-boucles-curly-hair-styling-brush-unisex-65721010.html,beaute-sante
L'Oréal Paris Pack GLYCOLIC BRIGHT - Sérum Visage 1% d'Acide Glycolique + Crème de jour - SPF 17,197.00 Dhs,274.00 Dhs,28%,0,Jumia,Available,"['Boutique Officielle', '28%']",https://www.jumia.ma/loreal-paris-pack-glycolic-bright-serum-visage-1-dacide-glycolique-creme-de-jour-spf-17-62075782.html,beaute-sante
"Life Extension NAD+ Cell Regenerator™ and Resveratrol Elite™, 30 Vegetarian Capsules, NR NIAGEN® Nicotinamide Riboside Chloride 300 mg",989.00 Dhs,,,0,Jumia,Available,[],https://www.jumia.ma/life-extension-nad-cell-regeneratortm-and-resveratrol-elitetm-30-vegetarian-capsules-nr-niagenr-nicotinamide-riboside-chloride300-mg-66065213.html,beaute-sante
BioSchubert Chardon Marie Bio 500mg Detox du Foie Extrait Silymarin Antioxydant 90 Count,149.86 Dhs,369.00 Dhs,59%,0,Jumia,Available,['59%'],https://www.jumia.ma/bioschubert-chardon-marie-bio-500mg-detox-du-foie-extrait-silymarin-antioxydant-90-count-64143341.html,beaute-sante
"Kal Acidophilus ProBiotic-4, 500 millions quatre souches de probiotiques, probiotiques sticker 100 caps",189.00 Dhs,,,0,Jumia,Available,[],https://www.jumia.ma/kal-acidophilus-probiotic-4-500-millions-quatre-souches-de-probiotiques-probiotiques-sticker-100-caps-64231077.html,beaute-sante
Maybelline New York Lot Lifter Gloss N°7 + Lifter Liner N°1,178.00 Dhs,198.00 Dhs,10%,0,Jumia,Available,"['Boutique Officielle', '10%']",https://www.jumia.ma/maybelline-new-york-lot-lifter-gloss-n7-lifter-liner-n1-66904803.html,beaute-sante
Maybelline New York Offre Maquillage : Eid Calendar 2025,315.00 Dhs,400.00 Dhs,21%,0,Jumia,Available,"['Boutique Officielle', '21%']",https://www.jumia.ma/maybelline-new-york-offre-maquillage-eid-calendar-2025-66286910.html,beaute-sante
L'Oréal Paris Elseve Offre Spéciale sérum Hyaluron Repulp = Brosse L'Oréal Paris offerte,76.00 Dhs,83.00 Dhs,8%,0,Jumia,Available,"['Boutique Officielle', '8%']",https://www.jumia.ma/loreal-paris-elseve-offre-speciale-serum-hyaluron-repulp-brosse-loreal-paris-offerte-66574612.html,beaute-sante
Safeline Boite de 10 Masques KN95 3D Protective Filtration jusqu'à 95% - FFP2,69.00 Dhs,120.00 Dhs,43%,0,Jumia,Available,['43%'],https://www.jumia.ma/safeline-boite-de-10-masques-kn95-3d-protective-filtration-jusqua-95-ffp2-66592865.html,beaute-sante
"Solaray Nettoyant à la levure Avec pau DArco, extrait de pépins de pamplemousse 90 VegCaps.",780.00 Dhs,,,0,Jumia,Available,[],https://www.jumia.ma/solaray-nettoyant-a-la-levure-avec-pau-darco-extrait-de-pepins-de-pamplemousse-90-vegcaps.-38427599.html,beaute-sante
"Solgar Glucosamine Chondroitin MSM Avec Ester-C, 180 Tablets","1,099.00 Dhs","2,400.00 Dhs",54%,0,Jumia,Available,['54%'],https://www.jumia.ma/glucosamine-chondroitin-msm-avec-ester-c-180-tablets-solgar-mpg1525667.html,beaute-sante
L'Oréal Paris Offre spéciale Coloration cheveux Excellence 7.1 Blond cendré = Shampoing Color Vive 200ml Offert,99.00 Dhs,128.00 Dhs,23%,0,Jumia,Available,"['Boutique Officielle', '23%']",https://www.jumia.ma/loreal-paris-offre-speciale-coloration-cheveux-excellence-7.1-blond-cendre-shampoing-color-vive-200ml-offert-65112718.html,beaute-sante
"Solgar Vitamin D3 (Cholecalciferol), 250 mcg (10,000 IU), 120 Softgels avec sticker",419.00 Dhs,638.00 Dhs,34%,0,Jumia,Available,['34%'],https://www.jumia.ma/solgar-vitamin-d3-cholecalciferol-250-mcg-10000-iu-120-softgels-avec-sticker-56142571.html,beaute-sante
"HX Creatine Monohydrate pure, micronized créatine 300g",210.00 Dhs,355.00 Dhs,41%,4.5,Jumia,Available,"['Boutique Officielle', '41%']",https://www.jumia.ma/creatine-monohydrate-pure-micronized-creatine-300g-hx-mpg1429178.html,beaute-sante
"Solaray Vitamine D3 + K2, sans soja, 60 VegCaps +Sticker cadeau",299.00 Dhs,505.11 Dhs,41%,4.3,Jumia,Available,['41%'],https://www.jumia.ma/solaray-vitamine-d3-k2-sans-soja-60-vegcaps-sticker-cadeau-44611405.html,beaute-sante
